scene,snr_db,padrao,fundo,onset_s,detectou,falso_alarme_antes,atraso_audio_s,atraso_parede_s
0,0,T3,frog/4-99644-A-4.wav,3.366,True,False,0.21806250000000027,
1,5,T4,crow/4-156227-A-9.wav,3.117,True,False,0.27475000000000005,
2,10,cont,can_opening/4-264453-A-34.wav,2.732,True,False,0.2435624999999999,
3,20,cont,washing_machine/4-218199-H-35.wav,3.191,True,False,0.20100000000000007,
4,0,T3,brushing_teeth/4-154405-B-27.wav,3.663,True,False,0.2084999999999999,
5,5,T3,noise_white_036,3.639,True,False,0.2653749999999997,
6,10,T4,sheep/4-196671-A-8.wav,3.326,True,False,0.22562499999999996,
7,20,T4,hen/4-253649-A-6.wav,2.925,True,False,0.21075,
8,0,cont,frog/4-99644-B-4.wav,3.73,True,False,0.2381875,
9,5,T3,engine/4-186936-A-44.wav,3.581,True,False,0.2266874999999997,
10,10,T4,noise_pink_115,3.975,True,False,0.21687500000000037,
11,20,T3,vacuum_cleaner/4-172732-A-36.wav,2.931,True,False,0.2046874999999999,
12,0,T3,noise_brown_035,4.431,True,False,0.20949999999999935,
13,5,cont,door_wood_creaks/4-160036-B-33.wav,2.979,True,False,0.28512499999999985,
14,10,cont,vacuum_cleaner/4-181999-A-36.wav,3.192,True,False,0.2636249999999998,
15,20,T4,utt_val_041,4.221,True,False,0.2585000000000006,
16,0,T4,utt_val_019,4.11,True,False,1.3936249999999992,
17,5,T4,water_drops/4-168155-A-15.wav,3.381,True,False,0.9705625000000002,
18,10,T3,insects/4-182314-B-7.wav,3.984,True,False,0.20800000000000018,
19,20,cont,clapping/4-189828-A-22.wav,3.631,True,False,0.20868749999999991,
20,0,T3,fireworks/4-119648-A-48.wav,3.332,True,False,0.22025000000000006,
21,5,T3,vacuum_cleaner/4-172736-A-36.wav,3.759,True,False,0.24106249999999996,
22,10,T3,chirping_birds/4-223125-A-14.wav,2.436,True,False,0.22012500000000035,
23,20,T3,door_wood_knock/4-188878-A-30.wav,3.529,True,False,0.21506250000000016,
24,0,T4,water_drops/4-212604-B-15.wav,2.312,True,False,0.24818750000000023,
25,5,T4,coughing/4-169726-A-24.wav,4.847,True,False,0.2728124999999997,
26,10,T3,clock_alarm/4-172366-A-37.wav,3.834,True,False,0.23043749999999985,
27,20,T3,thunderstorm/4-125072-B-19.wav,3.916,True,False,0.21187500000000004,
28,0,T3,dog/4-191687-A-0.wav,4.828,True,False,0.22837499999999977,
29,5,cont,rain/4-177250-A-10.wav,3.753,True,False,0.2790625000000002,
30,10,T3,sea_waves/4-167063-B-11.wav,2.226,True,False,0.23781249999999998,
31,20,T3,toilet_flush/4-152958-A-18.wav,2.937,True,False,0.19874999999999998,
32,0,T4,toilet_flush/4-135439-A-18.wav,2.705,True,False,0.33518749999999997,
33,5,T3,footsteps/4-198962-B-25.wav,3.588,True,False,0.8918125000000003,
34,10,cont,utt_val_034,3.61,True,False,0.19843749999999982,
35,20,cont,sheep/4-188703-C-8.wav,2.595,True,False,0.2209374999999998,
36,0,T3,utt_val_014,3.604,True,False,0.20425000000000004,
37,5,T3,utt_val_039,4.521,True,False,0.21450000000000014,
38,10,T3,breathing/4-198025-A-23.wav,3.743,True,False,0.25749999999999984,
39,20,T3,rooster/4-208021-A-1.wav,3.724,True,False,0.21225000000000005,
